App ID,VM,Host Environment,OS,# of CPUs,Memory,Disk (GB),DB Instance Count,PeakCPU%
7401,ODC003B2CP05,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,134,,100
7457,ODC003B2CP05,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,134,,100
7955,ODC003B2CP05,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,134,,100
9089,ODC003B2CP05,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,134,,100
9090,ODC003B2CP05,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,134,,100
9091,ODC003B2CP05,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,134,,100
11446,ODC003B2CP05,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,134,,100
567,ODC003B2CP06,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,129,,100
3947,ODC003B2CP06,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,129,,100
3958,ODC003B2CP06,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,129,,100
3961,ODC003B2CP06,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,129,,100
4995,ODC003B2CP06,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,129,,100
4997,ODC003B2CP06,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,129,,100
5007,ODC003B2CP06,Production,Red Hat Enterprise Linux 5 (64-bit),4,32,129,,100
