,App ID,VM,Host Environment,OS,# of CPUs,PeakCPU%,Memory,MemUsed,Disk (GB),Environment,Target Region,DB Instance Count,RDS,cores_calc,calc_family,mem_cpu_ratio,AWS_Region,AWS_OS,ec2_instance_type,one_hr_rate,one_yr_rate,three_yr_rate,AWS_DB,ebs_month_rate
1093,6020,ODC005SCLT01,Test,Red Hat Enterprise Linux 6 (64-bit),2,1,8,8,113.0,,,,False,3.0,c,2.6666666666666665,us-east-1,RHEL,c5.xlarge,0.23,1401.0,3206.0,,17.063
1094,7024,ODC005SCLT01,Test,Red Hat Enterprise Linux 6 (64-bit),2,1,8,8,113.0,,,,False,3.0,c,2.6666666666666665,us-east-1,RHEL,c5.xlarge,0.23,1401.0,3206.0,,17.063
1095,7222,ODC005SCLT01,Test,Red Hat Enterprise Linux 6 (64-bit),2,1,8,8,113.0,,,,False,3.0,c,2.6666666666666665,us-east-1,RHEL,c5.xlarge,0.23,1401.0,3206.0,,17.063
1096,7263,ODC005SCLT01,Test,Red Hat Enterprise Linux 6 (64-bit),2,1,8,8,113.0,,,,False,3.0,c,2.6666666666666665,us-east-1,RHEL,c5.xlarge,0.23,1401.0,3206.0,,17.063
1097,7437,ODC005SCLT01,Test,Red Hat Enterprise Linux 6 (64-bit),2,1,8,8,113.0,,,,False,3.0,c,2.6666666666666665,us-east-1,RHEL,c5.xlarge,0.23,1401.0,3206.0,,17.063
1098,7995,ODC005SCLT01,Test,Red Hat Enterprise Linux 6 (64-bit),2,1,8,8,113.0,,,,False,3.0,c,2.6666666666666665,us-east-1,RHEL,c5.xlarge,0.23,1401.0,3206.0,,17.063
1099,10695,ODC005SCLT01,Test,Red Hat Enterprise Linux 6 (64-bit),2,1,8,8,113.0,,,,False,3.0,c,2.6666666666666665,us-east-1,RHEL,c5.xlarge,0.23,1401.0,3206.0,,17.063
1100,6020,ODC005SCLT02,Test,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,150.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,22.65
1101,7024,ODC005SCLT02,Test,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,150.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,22.65
1102,7099,ODC005SCLT02,Test,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,150.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,22.65
1103,7222,ODC005SCLT02,Test,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,150.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,22.65
1104,7240,ODC005SCLT02,Test,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,150.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,22.65
1105,7263,ODC005SCLT02,Test,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,150.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,22.65
1106,7437,ODC005SCLT02,Test,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,150.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,22.65
1107,7464,ODC005SCLT02,Test,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,150.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,22.65
1108,7538,ODC005SCLT02,Test,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,150.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,22.65
1109,8016,ODC005SCLT02,Test,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,150.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,22.65
1110,9154,ODC005SCLT02,Test,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,150.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,22.65
1111,9878,ODC005SCLT02,Test,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,150.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,22.65
1112,5855,ODC005SMPA40,Development,Microsoft Windows Server 2008 R2 (64-bit),2,1,6,6,86.0,,,,False,3.0,c,2.0,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,12.985999999999999
1113,7110,ODC005SMPA40,Development,Microsoft Windows Server 2008 R2 (64-bit),2,1,6,6,86.0,,,,False,3.0,c,2.0,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,12.985999999999999
1114,4140,ODC005TNMD01,Development,Microsoft Windows Server 2008 R2 (64-bit),2,1,4,4,115.0,,,,False,3.0,c,1.3333333333333333,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,17.365
1115,7048,ODC005VAMD01,Development,Microsoft Windows Server 2012 (64-bit),2,1,8,8,145.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,21.895
1116,7187,ODC005VAMD01,Development,Microsoft Windows Server 2012 (64-bit),2,1,8,8,145.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,21.895
1117,7048,ODC005VAMD02,Development,Microsoft Windows Server 2012 (64-bit),2,1,8,8,245.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,36.995
1118,7187,ODC005VAMD02,Development,Microsoft Windows Server 2012 (64-bit),2,1,8,8,245.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,36.995
1119,7048,ODC005VAMD03,Development,Microsoft Windows Server 2012 (64-bit),2,1,8,8,1240.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,187.23999999999998
